Gene,Description,Compartment,Treated_v_Control_FC,Treated_v_Control_pval,Treated_v_Control_adjpval
RAB7A,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.1141,7.809723e-1,8.793162e-1
RAB11A,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.8264,4.089309e-2,1.092995e-1
RAB14,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.0365,9.084942e-1,9.432521e-1
RAB35,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.0320,9.536478e-1,9.686790e-1
SNAP23,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.1959,5.094215e-1,6.699874e-1
STX4,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.6268,8.318797e-2,1.855732e-1
STX7,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.6175,4.397505e-2,1.154096e-1
VAMP3,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.5033,3.665469e-1,5.433323e-1
VAMP7,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.1090,6.667684e-1,7.907610e-1
NSF,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.2572,4.168548e-1,5.925877e-1
NAPA,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.3440,4.327766e-1,6.017096e-1
EEA1,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.1224,7.526386e-1,8.525984e-1
VPS26A,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-2.3899,1.023872e-1,2.175259e-1
VPS29,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.4293,1.429690e-1,2.873194e-1
VPS35,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.9000,9.916328e-2,2.138093e-1
SNX1,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.3228,2.163453e-1,3.872848e-1
SNX2,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-2.5134,6.204483e-2,1.529495e-1
SNX6,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-2.1824,2.249073e-1,3.977019e-1
CHMP4B,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.3950,4.114263e-1,5.892031e-1
TSG101,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.0600,8.617581e-1,9.200087e-1
VPS4A,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.2198,6.299721e-1,7.533687e-1
SOD1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.2576,3.021361e-1,4.802863e-1
CAT,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.2298,2.772858e-1,4.555971e-1
GPX1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.1788,5.589057e-1,7.077845e-1
GPX4,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.8124,2.145654e-1,3.864842e-1
PRDX1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.0556,8.869109e-1,9.318992e-1
PRDX2,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.0062,9.946152e-1,9.963330e-1
PRDX4,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.2443,4.336623e-1,6.017096e-1
PRDX6,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.9540,2.400869e-2,7.104613e-2
TXN,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.2859,4.358743e-1,6.017096e-1
TXNRD1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.7196,4.996283e-2,1.282232e-1
GSR,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.1720,5.642687e-1,7.077963e-1
GSTP1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.6522,1.619670e-1,3.162991e-1
GSTO1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.7391,5.333743e-1,6.920741e-1
GCLM,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,1.2864,3.735203e-1,5.456972e-1
NQO1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.0900,8.417768e-1,9.085363e-1
MGST1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.9143,2.157818e-1,3.872848e-1
BLVRB,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.2998,5.120035e-1,6.718598e-1
FTH1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-2.1715,2.874065e-1,4.643336e-1
FTL,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,-1.4759,5.944527e-1,7.273894e-1
HMOX1,"redox / detoxification enzyme, org=Homo sapiens",Redox & detox,2.0440,1.847346e-2,5.791679e-2
LMNA,"nuclear protein, org=Homo sapiens",Nucleus,1.1490,6.136292e-1,7.441484e-1
LMNB1,"nuclear protein, org=Homo sapiens",Nucleus,1.2708,3.438627e-1,5.247694e-1
LMNB2,"nuclear protein, org=Homo sapiens",Nucleus,-1.0196,9.362488e-1,9.594069e-1
NUP93,"nuclear protein, org=Homo sapiens",Nucleus,1.2714,5.514220e-1,7.053229e-1
NUP133,"nuclear protein, org=Homo sapiens",Nucleus,2.2585,7.358008e-2,1.734815e-1
NUP205,"nuclear protein, org=Homo sapiens",Nucleus,-1.4044,1.174895e-1,2.468982e-1
NUP214,"nuclear protein, org=Homo sapiens",Nucleus,-1.0912,8.185287e-1,8.947511e-1
RANBP2,"nuclear protein, org=Homo sapiens",Nucleus,1.0040,9.942241e-1,9.963330e-1
KPNB1,"nuclear protein, org=Homo sapiens",Nucleus,1.0110,9.845979e-1,9.933108e-1
KPNA2,"nuclear protein, org=Homo sapiens",Nucleus,1.0378,8.666143e-1,9.205793e-1
TPR,"nuclear protein, org=Homo sapiens",Nucleus,-1.3925,4.910843e-1,6.502942e-1
RAN,"nuclear protein, org=Homo sapiens",Nucleus,-1.6934,4.115789e-2,1.095026e-1
XPO1,"nuclear protein, org=Homo sapiens",Nucleus,1.0750,8.456517e-1,9.089615e-1
HIST1H1C,"nuclear protein, org=Homo sapiens",Nucleus,1.1414,6.008163e-1,7.320871e-1
H2AFZ,"nuclear protein, org=Homo sapiens",Nucleus,-1.0585,9.024194e-1,9.413728e-1
SMARCA4,"nuclear protein, org=Homo sapiens",Nucleus,-1.1765,8.663360e-1,9.205793e-1
SMARCC1,"nuclear protein, org=Homo sapiens",Nucleus,1.0879,8.418014e-1,9.085363e-1
CHD4,"nuclear protein, org=Homo sapiens",Nucleus,-1.3624,3.120562e-1,4.878507e-1
HDAC1,"nuclear protein, org=Homo sapiens",Nucleus,-1.8882,1.521189e-2,4.956683e-2
HDAC2,"nuclear protein, org=Homo sapiens",Nucleus,-1.1273,5.903879e-1,7.239429e-1
RBBP4,"nuclear protein, org=Homo sapiens",Nucleus,1.7731,1.649816e-1,3.201901e-1
SSRP1,"nuclear protein, org=Homo sapiens",Nucleus,-1.8876,8.065424e-2,1.831782e-1
SUPT16H,"nuclear protein, org=Homo sapiens",Nucleus,1.2200,5.793928e-1,7.149954e-1
PCNA,"nuclear protein, org=Homo sapiens",Nucleus,-1.3539,5.881719e-1,7.227536e-1
RFC1,"nuclear protein, org=Homo sapiens",Nucleus,-1.0892,8.462745e-1,9.089615e-1
MCM2,"nuclear protein, org=Homo sapiens",Nucleus,1.1805,6.257899e-1,7.499135e-1
MCM7,"nuclear protein, org=Homo sapiens",Nucleus,1.1966,5.472202e-1,7.037422e-1
TOP2A,"nuclear protein, org=Homo sapiens",Nucleus,1.0784,8.026218e-1,8.915729e-1
TOP1,"nuclear protein, org=Homo sapiens",Nucleus,-1.2388,4.294794e-1,6.017096e-1
